title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Lands for sale in Lagos,,,,Lagos,,,,,,0,,,Lands for sale in Lagos,,,,,,,,,https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=59&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",0bdec91247a1d7db9e4b59a7ab81131bbca3f8e2a1411373691bcf3b72234b81
Short Let in Lagos,,,,Lagos,,,,,,0,,,Short Let in Lagos,,,,,,,,,https://www.naijahouses.com/rental/search?state=Lagos&rent_type=short_let&prop_types=&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",b20641b36992c3a5aecf05ec7ed622a325ebf2823e974d55e725f82a4125ea4d
Estates in Lagos,,,,Lagos,,,,,,0,,,Estates in Lagos,,,,,,,,,https://www.naijahouses.com/condominium/search?location=Lagos&facilities=,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f2f90aa2ed30461c721b1ea446429b9c544c1394951d10ef58f5426844835dfa
BUY,,,,Lagos,,,,,,0,,,"BUY Buy Top 5 Homes Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos Homes for Sale All Homes New Homes & Communities Foreclosed Properties Projects Condominium Apartments Home Values Recently Sold Property Directory Home Buying Tips Home Buying Tips Read Buying Discussions Top Buy Home",,,,,,,,,https://www.naijahouses.com/,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",2136209b5b7fa1d8da4565dca9cf9973e06731918cefc2b54682a975fe423009
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,https://www.naijahouses.com/property-details/oniru-victoria-island-lagos,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",a99c6fd6a32968efd7b9677c8ab65ea80e845442d76f08b54605d222de844e50
SELL,,,,Lagos,,,,,,0,,,"SELL Top Selling Home Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos See What Your Home Is Worth How to Select an Agent Projects Sell Apartments Sell Condominiums Community Discussions on Selling Ask the Community Home Selling Tips Home Selling Tips How to Spark a Bidding War for Your Home More Home Selling Advice",,,,,,,,,https://www.naijahouses.com/sell/index,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",9d19783142212e5953bcb4104c2f02edaae82dcfeb6c6637cbe952bd9b7ce82f
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,javascript:void(0),www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",a99c6fd6a32968efd7b9677c8ab65ea80e845442d76f08b54605d222de844e50
New Hot Listings,4500000005000000000,,900000001000000000,Lagos,,,5,5,,1,,,"New Hot Listings For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All 2,955 Homes For Sale 0 Open Houses 210 Homes For Lease 30 Price Reduced 3,165 Homes For Sale/Lease",,,,,,,,,https://www.naijahouses.com/?page=5#hot_listing_1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f7d80e47dfd09b7d2052e801c4a9813f35580cb08264b42ae1f622ee02504166
"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE",4500000005000000000,,900000001000000000,Lagos,,,5,5,,1,,,"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/osapa-lekki-lagos-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",6068f10e287dcb06db3de92afb04358e69fbf8e92cc6feff6cb71a3a440d7a5b
Flats for rent in Lagos,,,,Lagos,,,,,,0,,,Flats for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",cec3cdf4728006277b997f821362bbdb18c0b49c4fbdc437a5c9fe27e2de6af2
Houses for rent in Lagos,,,,Lagos,,,,,,0,,,Houses for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=9,20,46,47,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",4410b29010844f4879ccde1df0dc66d3f04a3490ef681cb41d4ced574c9adea9
Houses for sale in Lagos,,,,Lagos,,,,,,0,,,Houses for sale in Lagos,,,,,,,,,"https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=9,20,46,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",44786059b1586852fa33b9d9af1e0481c4b94a5aeefa08805ca84debeff24624
Lands for sale in Lagos,,,,Lagos,,,,,,0,,,Lands for sale in Lagos,,,,,,,,,https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=59&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",0bdec91247a1d7db9e4b59a7ab81131bbca3f8e2a1411373691bcf3b72234b81
Short Let in Lagos,,,,Lagos,,,,,,0,,,Short Let in Lagos,,,,,,,,,https://www.naijahouses.com/rental/search?state=Lagos&rent_type=short_let&prop_types=&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",b20641b36992c3a5aecf05ec7ed622a325ebf2823e974d55e725f82a4125ea4d
Estates in Lagos,,,,Lagos,,,,,,0,,,Estates in Lagos,,,,,,,,,https://www.naijahouses.com/condominium/search?location=Lagos&facilities=,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f2f90aa2ed30461c721b1ea446429b9c544c1394951d10ef58f5426844835dfa
BUY,,,,Lagos,,,,,,0,,,"BUY Buy Top 5 Homes Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos Homes for Sale All Homes New Homes & Communities Foreclosed Properties Projects Condominium Apartments Home Values Recently Sold Property Directory Home Buying Tips Home Buying Tips Read Buying Discussions Top Buy Home",,,,,,,,,https://www.naijahouses.com/,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",2136209b5b7fa1d8da4565dca9cf9973e06731918cefc2b54682a975fe423009
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,https://www.naijahouses.com/property-details/oniru-victoria-island-lagos,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",a99c6fd6a32968efd7b9677c8ab65ea80e845442d76f08b54605d222de844e50
SELL,,,,Lagos,,,,,,0,,,"SELL Top Selling Home Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos See What Your Home Is Worth How to Select an Agent Projects Sell Apartments Sell Condominiums Community Discussions on Selling Ask the Community Home Selling Tips Home Selling Tips How to Spark a Bidding War for Your Home More Home Selling Advice",,,,,,,,,https://www.naijahouses.com/sell/index,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",9d19783142212e5953bcb4104c2f02edaae82dcfeb6c6637cbe952bd9b7ce82f
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,javascript:void(0),www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",a99c6fd6a32968efd7b9677c8ab65ea80e845442d76f08b54605d222de844e50
New Hot Listings,4500000005000000000,,900000001000000000,Lagos,,,5,5,,1,,,"New Hot Listings For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk 1 View All 2,955 Homes For Sale 0 Open Houses 210 Homes For Lease 30 Price Reduced 3,165 Homes For Sale/Lease",,,,,,,,,https://www.naijahouses.com/?page=6#hot_listing_1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f7d80e47dfd09b7d2052e801c4a9813f35580cb08264b42ae1f622ee02504166
"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LE",4500000005000000000,,900000001000000000,Lagos,,,5,5,,1,,,"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/osapa-lekki-lagos-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",225ca8413715c75d5b745a9ec8c6231186fd2165a153b4d204e34b383c96695d
Flats for rent in Lagos,,,,Lagos,,,,,,0,,,Flats for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",cec3cdf4728006277b997f821362bbdb18c0b49c4fbdc437a5c9fe27e2de6af2
Houses for rent in Lagos,,,,Lagos,,,,,,0,,,Houses for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=9,20,46,47,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",4410b29010844f4879ccde1df0dc66d3f04a3490ef681cb41d4ced574c9adea9
Houses for sale in Lagos,,,,Lagos,,,,,,0,,,Houses for sale in Lagos,,,,,,,,,"https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=9,20,46,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",44786059b1586852fa33b9d9af1e0481c4b94a5aeefa08805ca84debeff24624
Lands for sale in Lagos,,,,Lagos,,,,,,0,,,Lands for sale in Lagos,,,,,,,,,https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=59&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",0bdec91247a1d7db9e4b59a7ab81131bbca3f8e2a1411373691bcf3b72234b81
Short Let in Lagos,,,,Lagos,,,,,,0,,,Short Let in Lagos,,,,,,,,,https://www.naijahouses.com/rental/search?state=Lagos&rent_type=short_let&prop_types=&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",b20641b36992c3a5aecf05ec7ed622a325ebf2823e974d55e725f82a4125ea4d
Estates in Lagos,,,,Lagos,,,,,,0,,,Estates in Lagos,,,,,,,,,https://www.naijahouses.com/condominium/search?location=Lagos&facilities=,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f2f90aa2ed30461c721b1ea446429b9c544c1394951d10ef58f5426844835dfa
BUY,,,,Lagos,,,,,,0,,,"BUY Buy Top 5 Homes Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos Homes for Sale All Homes New Homes & Communities Foreclosed Properties Projects Condominium Apartments Home Values Recently Sold Property Directory Home Buying Tips Home Buying Tips Read Buying Discussions Top Buy Home",,,,,,,,,https://www.naijahouses.com/,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",2136209b5b7fa1d8da4565dca9cf9973e06731918cefc2b54682a975fe423009
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,https://www.naijahouses.com/property-details/oniru-victoria-island-lagos,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",a99c6fd6a32968efd7b9677c8ab65ea80e845442d76f08b54605d222de844e50
SELL,,,,Lagos,,,,,,0,,,"SELL Top Selling Home Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos See What Your Home Is Worth How to Select an Agent Projects Sell Apartments Sell Condominiums Community Discussions on Selling Ask the Community Home Selling Tips Home Selling Tips How to Spark a Bidding War for Your Home More Home Selling Advice",,,,,,,,,https://www.naijahouses.com/sell/index,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",9d19783142212e5953bcb4104c2f02edaae82dcfeb6c6637cbe952bd9b7ce82f
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,javascript:void(0),www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",a99c6fd6a32968efd7b9677c8ab65ea80e845442d76f08b54605d222de844e50
New Hot Listings,4500000005000000000,,900000001000000000,Lagos,,,5,5,,1,,,"New Hot Listings For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All 2,955 Homes For Sale 0 Open Houses 210 Homes For Lease 30 Price Reduced 3,165 Homes For Sale/Lease",,,,,,,,,https://www.naijahouses.com/?page=7#hot_listing_1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f7d80e47dfd09b7d2052e801c4a9813f35580cb08264b42ae1f622ee02504166
"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE",4500000005000000000,,900000001000000000,Lagos,,,5,5,,1,,,"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/osapa-lekki-lagos-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",6068f10e287dcb06db3de92afb04358e69fbf8e92cc6feff6cb71a3a440d7a5b
Flats for rent in Lagos,,,,Lagos,,,,,,0,,,Flats for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",cec3cdf4728006277b997f821362bbdb18c0b49c4fbdc437a5c9fe27e2de6af2
Houses for rent in Lagos,,,,Lagos,,,,,,0,,,Houses for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=9,20,46,47,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",4410b29010844f4879ccde1df0dc66d3f04a3490ef681cb41d4ced574c9adea9
Houses for sale in Lagos,,,,Lagos,,,,,,0,,,Houses for sale in Lagos,,,,,,,,,"https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=9,20,46,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",44786059b1586852fa33b9d9af1e0481c4b94a5aeefa08805ca84debeff24624
Lands for sale in Lagos,,,,Lagos,,,,,,0,,,Lands for sale in Lagos,,,,,,,,,https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=59&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",0bdec91247a1d7db9e4b59a7ab81131bbca3f8e2a1411373691bcf3b72234b81
Short Let in Lagos,,,,Lagos,,,,,,0,,,Short Let in Lagos,,,,,,,,,https://www.naijahouses.com/rental/search?state=Lagos&rent_type=short_let&prop_types=&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",b20641b36992c3a5aecf05ec7ed622a325ebf2823e974d55e725f82a4125ea4d
Estates in Lagos,,,,Lagos,,,,,,0,,,Estates in Lagos,,,,,,,,,https://www.naijahouses.com/condominium/search?location=Lagos&facilities=,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",f2f90aa2ed30461c721b1ea446429b9c544c1394951d10ef58f5426844835dfa
